Order ID,Order Date,Origin Port,Carrier,TPT,Service Level,Ship ahead day count,Ship Late Day count,Customer,Product ID,Plant Code,Destination Port,Unit quantity,Weight,month,day_of_week,is_late,is_early,on_time,weight_per_unit,delay_severity,ai_efficiency_score,ai_recommendation
1447296446.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,808,14.3,2013-05,Sunday,0,1,0,0.0177,On time,0.6538,Monitor
1447158014.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,3188,87.94,2013-05,Sunday,0,1,0,0.0276,On time,0.6955,High efficiency
1447138898.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,2331,61.2,2013-05,Sunday,0,1,0,0.0263,On time,0.6914,High efficiency
1447363527.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,847,16.16,2013-05,Sunday,0,1,0,0.0191,On time,0.6566,Monitor
1447363980.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,2163,52.34,2013-05,Sunday,0,1,0,0.0242,On time,0.6865,High efficiency
1447351440.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,3332,92.8,2013-05,Sunday,0,1,0,0.0279,On time,0.6975,High efficiency
1447320235.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,1782,46.9,2013-05,Sunday,0,1,0,0.0263,On time,0.6819,High efficiency
1447158018.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,427,2.86,2013-05,Sunday,0,1,0,0.0067,On time,0.6129,Monitor
1447219340.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,1291,26.6,2013-05,Sunday,0,1,0,0.0206,On time,0.6738,High efficiency
1447398415.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,2294,62.2,2013-05,Sunday,0,1,0,0.0271,On time,0.6898,High efficiency
1447381678.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,2766,75.5,2013-05,Sunday,0,1,0,0.0273,On time,0.6934,High efficiency
1447170784.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,PORT09,798,14.3,2013-05,Sunday,0,1,0,0.0179,On time,0.653,Monitor
1447155055.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,PORT09,739,73.9,2013-05,Sunday,0,1,0,0.1,On time,0.6485,Monitor
1447257264.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,PORT09,280,7.800000000000001,2013-05,Sunday,0,1,0,0.0279,On time,0.5388,Monitor
1447240988.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,PORT09,574,59.5,2013-05,Sunday,0,1,0,0.1037,On time,0.6344,Monitor
1447257230.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,PORT09,556,52.7,2013-05,Sunday,0,1,0,0.0948,On time,0.633,Monitor
1447260652.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,PORT09,544,58.5,2013-05,Sunday,0,1,0,0.1075,On time,0.6319,Monitor
1447139374.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,PORT09,1151,181.7,2013-05,Sunday,0,1,0,0.1579,On time,0.667,High efficiency
1447308589.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,PORT09,1404,227.2,2013-05,Sunday,0,1,0,0.1618,On time,0.6781,High efficiency
1447191270.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,PORT09,662,74.1,2013-05,Sunday,0,1,0,0.1119,On time,0.6429,Monitor
1447191283.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1699336,PLANT16,PORT09,836,80.43000000000002,2013-05,Sunday,0,1,0,0.0962,On time,0.6559,Monitor
1447352425.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1702652,PLANT16,PORT09,2063,265.1,2013-05,Sunday,0,1,0,0.1285,On time,0.6854,High efficiency
1447211828.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1699337,PLANT16,PORT09,2114,267.1,2013-05,Sunday,0,1,0,0.1263,On time,0.6862,High efficiency
1447232832.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1699337,PLANT16,PORT09,2108,271.1,2013-05,Sunday,0,1,0,0.1286,On time,0.6861,High efficiency
1447205080.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1699336,PLANT16,PORT09,1120,112.6,2013-05,Sunday,0,1,0,0.1005,On time,0.666,High efficiency
1447365979.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1702654,PLANT16,PORT09,706,61.8,2013-05,Sunday,0,1,0,0.0875,On time,0.6463,Monitor
1447157117.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1699336,PLANT16,PORT09,889,107.88,2013-05,Sunday,0,1,0,0.1213,On time,0.6581,Monitor
1447398412.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1702652,PLANT16,PORT09,1793,216.57,2013-05,Sunday,0,1,0,0.1208,On time,0.682,High efficiency
1447377318.7,2013-05-26,PORT09,V44_3,1,CRF,3,0,V55555_53,1702652,PLANT16,PORT09,491,27.81,2013-05,Sunday,0,1,0,0.0566,On time,0.6245,Monitor
